A Wolanin
Marc Di Domenico
Marc Dufrenois
Marc Freycon
Marc Guidoni
Marc Latil
Marc Obéron
Marc Paris
Marc Saffar
Marc Sandberg
Marc Thomas Charley
Marc Villemain
Marc Weitzmann
Marc-Eliel Chouraqui
Marceline Loridan-Ivens
Marcin Sokolowski
Marco Bellochio
Marco Cacioppo
Margaret Walker
Margarita Robski
Margot Meynier
Margot Wolfs
Marguerite Aflallo
Maria de França
Mariana Oliveira Santos
Marie Delachaux
Marie Jergan
Marie Nieves Perez Neël
Marie Nieves Perez Neël 
Marie Prévost
Marie-Ange Terrier
Marie-Christine Chesneau
Marie-Hélène Arnau
Marie-Hélène Raby
Marina Duarte Nunes Ferreira
Marine Jamet
Mario Martone
Mario Monicelli
Marion de Blaÿ
Marion Frelat
Marish Lippi
Mark Urman
Marks Blond
Marlène Bisson
Marta Gutowska
Marta Villarroya Estruch
Martin Gregus
Martin Ruhe
Martin Scorsese
Martine Dugowson
Martine Fitoussi
Martine Pagès
Mary Bowen
Maryana Vestic
Maryline Monthieux
Marziano Francesco Valentino Fontana
Mathieu Celary
Mathieu Mercier
Matteo Garone
Matthieu Béguelin
Maud Ferrari
Maud Pommier-Samaan
Maurizio Trani
Max Brun
Maya Pijnappel
Mazhar Farah
Merima Bruncevic
Michael A. Russ
Michael Flynn
Michael Louis Wells
Michael Mann
Michaël Goldberg
Michel Andrieu
Michel Chevalier
Michel Deloore
Michel Deville
Michel Ferry
Michel Gras
Michel Kammoun
Michel Laigle
Michel Ocelot
Michel Piccoli
Michele Hababou
Michele Placido
Michelle Géranium Melman-Gory
Michèle Henx
Michèle Kahn
Michèle Rollin
michèle Rossi-Ducci
Michèle Seguin-Sirhugue
Mickael Tanguy
Miguel Courtois
Miguel Morales
Mikael Håfström
Mike Medavoy
Mike Nichols
Milan Kundera
Mishka Cheyko
Miss Catadler
Mitja Tušek
Monica Bellucci
Monica Cannizzaro
Monika Weibel
Monique Perez
Morgan Crestel
Morgane Beauverger
Muriel Cerf
Muriel Kintziger
Muriel Mercier
Nadia Paschetto
Nadine Fruchard
Nadine Nahmias
Nadine Trintignant
Nanan Sikki
Natalie Mei
Natalie Portman
Nathalie Faucheux
Nathalie Geiser
Nathalie Kiener
Nathalie LeCoultre
Nathalie Traube
Neil Jordan
Nelly Kaplan
Nelly Moaligou
Nelson Gonzalez
Nicholas Dubreuil
Nico Beyer
Nicola D’Ugo
Nicola Pecorini
Nicolaine den Breejen
Nicolas Fagard
Nicolas Jacquelin
Nicolas Kermel
Nicolas Mauvernay
Nicolas Mesdom
Nicole Herbaut de Lamothe
Nicole Lormeau
Nicole Novak
Nicole Wisniak
Nihad Christian Jarallah
Nil Symchowicz
Noel Simsolo
Noémie Saine-Loiselle
Olivia A. Bugnon
Olivia Janik
Olivier Assayas
Olivier Bonnet
Olivier Cohen
Olivier Dard
Olivier Debert
Olivier Jacquet
Olivier Nolin
Olivier Père
Olivier Soares Barbosa
Olivier Séror
Omayra Muñiz Fernández
Paola Jullian
Paolo Roversi
Paolo Sorrentino
Pascal Batigne
Pascal Berney
Pascal Bruckner
Pascal Kané
Pascal Thomas
Pascale Angelini
Pascale Castioni
Pascale Rocard
Patrice Bourbon
Patrice Chéreau
Patrice Leconte
Patrick Bouchitey
Patrick Braoudé
Patrick Conrad
Patrick Frégonara
Patrick Hirigoyen
Patrick Mimouni
Patrick Perlman
Patrick Samama
Paul Auster
Paul Boujenah
Paul Remigiusz
Paul Rondags
Paule Zajdermann
Pauline Larrieu
Paulo Branco
Pawel Lech
Pedro Almódovar
Pedro Celestino
Peggy Carajopoulou-Vavali
Peter Josy
Peter Lucas Erixon
Peter Priskil
Peter Woltil
Petter Skavlan
Phil van der Linden
Philippe Corbé
Philippe Garrel
Philippe Gruss
Philippe Guillermo,
Philippe Lallet
Philippe Morin
Philippe Radault
Philippe Sisbane
Pierre Antoine Faure
Pierre Forciniti
Pierre Gaczol
Pierre Jolivet
Pierre Kalfon
Pierre Laville
Pierre Le Scouarnec
Pierre Leroy
Pierre Lhomme
Pierre Schoendoerffer
Pierre Schumacher
Pierre Silvant
Pierre Somers
Pierre-Alexandre Schwab
Pieter van Hees
Piotrek Szymanek
Rachel Lowenstein
Rachel Lévy
Rachel Noël
Radovan Tadic
Radu Mihaileanu
Raphael Rebibo
Raphaël Le Gall-Kerrain
Raphaël Lévy
Raphaël Wertheimer
Redha
Reena Kanji
Renata Bosco
Renate Jett
Renaud Jules Deschênes
René Duc
René Gainville
René Heitz
Renée Lhomme
Richard Klebinder
Richard Pena
Richard Schlesinger
Richard Szotyori
Robert Cohen
Robert Hossein
Robin Davis
Roch Stephanik
Rodrigo Carrizo Couto
Roger Andrieux
Roger Kahane
Rolandas Rastauskas
Romain Desbiens
Romain Ferrari
Romain Slocombe
Ronald Harwood
Rosalinde Deville
Rose Rigot
Roy Lisker
